Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00     366 5.479e-03

rx  -  ry  -  vx  -  vy
-1.734659e+02  -4.755874e+01  -1.213134e+02  -3.326031e+01
-1.741306e+02  -4.774098e+01  -1.213134e+02  -3.326030e+01
-1.747953e+02  -4.792323e+01  -1.213134e+02  -3.326030e+01
-1.754600e+02  -4.810548e+01  -1.213133e+02  -3.326030e+01
-1.761248e+02  -4.828773e+01  -1.213133e+02  -3.326030e+01
-1.767895e+02  -4.846998e+01  -1.213133e+02  -3.326030e+01
-1.774542e+02  -4.865222e+01  -1.213133e+02  -3.326030e+01
-1.781190e+02  -4.883447e+01  -1.213133e+02  -3.326029e+01
-1.787837e+02  -4.901672e+01  -1.213133e+02  -3.326029e+01
-1.794484e+02  -4.919897e+01  -1.213133e+02  -3.326029e+01
-1.801132e+02  -4.938122e+01  -1.213133e+02  -3.326029e+01
-1.807779e+02  -4.956347e+01  -1.213133e+02  -3.326029e+01
-1.814426e+02  -4.974571e+01  -1.213133e+02  -3.326029e+01
-1.821073e+02  -4.992796e+01  -1.213133e+02  -3.326028e+01
-1.827721e+02  -5.011021e+01  -1.213133e+02  -3.326028e+01
-1.834368e+02  -5.029246e+01  -1.213133e+02  -3.326028e+01
-1.841015e+02  -5.047471e+01  -1.213133e+02  -3.326028e+01
-1.847663e+02  -5.065695e+01  -1.213133e+02  -3.326028e+01
-1.854310e+02  -5.083920e+01  -1.213133e+02  -3.326028e+01
-1.860957e+02  -5.102145e+01  -1.213133e+02  -3.326028e+01
-1.867605e+02  -5.120370e+01  -1.213132e+02  -3.326027e+01
-1.874252e+02  -5.138595e+01  -1.213132e+02  -3.326027e+01
-1.880899e+02  -5.156819e+01  -1.213132e+02  -3.326027e+01
-1.887546e+02  -5.175044e+01  -1.213132e+02  -3.326027e+01
-1.894194e+02  -5.193269e+01  -1.213132e+02  -3.326027e+01
-1.900841e+02  -5.211494e+01  -1.213132e+02  -3.326027e+01
-1.907488e+02  -5.229719e+01  -1.213132e+02  -3.326026e+01
-1.914136e+02  -5.247943e+01  -1.213132e+02  -3.326026e+01
-1.920783e+02  -5.266168e+01  -1.213132e+02  -3.326026e+01
-1.927430e+02  -5.284393e+01  -1.213132e+02  -3.326026e+01
-1.934078e+02  -5.302618e+01  -1.213132e+02  -3.326026e+01
-1.940725e+02  -5.320843e+01  -1.213132e+02  -3.326026e+01
-1.947372e+02  -5.339067e+01  -1.213132e+02  -3.326026e+01
-1.954019e+02  -5.357292e+01  -1.213132e+02  -3.326025e+01
-1.960667e+02  -5.375517e+01  -1.213132e+02  -3.326025e+01
-1.967314e+02  -5.393742e+01  -1.213132e+02  -3.326025e+01
-1.973961e+02  -5.411967e+01  -1.213132e+02  -3.326025e+01
-1.980609e+02  -5.430191e+01  -1.213132e+02  -3.326025e+01
-1.987256e+02  -5.448416e+01  -1.213132e+02  -3.326025e+01
-1.993903e+02  -5.466641e+01  -1.213131e+02  -3.326025e+01
-2.000551e+02  -5.484866e+01  -1.213131e+02  -3.326025e+01
-2.007198e+02  -5.503091e+01  -1.213131e+02  -3.326024e+01
-2.013845e+02  -5.521315e+01  -1.213131e+02  -3.326024e+01
-2.020492e+02  -5.539540e+01  -1.213131e+02  -3.326024e+01
-2.027140e+02  -5.557765e+01  -1.213131e+02  -3.326024e+01
-2.033787e+02  -5.575990e+01  -1.213131e+02  -3.326024e+01
-2.040434e+02  -5.594215e+01  -1.213131e+02  -3.326024e+01
-2.047082e+02  -5.612439e+01  -1.213131e+02  -3.326024e+01
-2.053729e+02  -5.630664e+01  -1.213131e+02  -3.326023e+01
-2.060376e+02  -5.648889e+01  -1.213131e+02  -3.326023e+01
-2.067024e+02  -5.667114e+01  -1.213131e+02  -3.326023e+01
-2.073671e+02  -5.685339e+01  -1.213131e+02  -3.326023e+01
-2.080318e+02  -5.703563e+01  -1.213131e+02  -3.326023e+01
-2.086965e+02  -5.721788e+01  -1.213131e+02  -3.326023e+01
-2.093613e+02  -5.740013e+01  -1.213131e+02  -3.326023e+01
-2.100260e+02  -5.758238e+01  -1.213131e+02  -3.326023e+01
-2.106907e+02  -5.776462e+01  -1.213131e+02  -3.326022e+01
-2.113555e+02  -5.794687e+01  -1.213131e+02  -3.326022e+01
-2.120202e+02  -5.812912e+01  -1.213131e+02  -3.326022e+01
-2.126849e+02  -5.831137e+01  -1.213131e+02  -3.326022e+01
-2.133496e+02  -5.849362e+01  -1.213131e+02  -3.326022e+01
-2.140144e+02  -5.867586e+01  -1.213130e+02  -3.326022e+01
-2.146791e+02  -5.885811e+01  -1.213130e+02  -3.326022e+01
-2.153438e+02  -5.904036e+01  -1.213130e+02  -3.326022e+01
-2.160086e+02  -5.922261e+01  -1.213130e+02  -3.326022e+01
-2.166733e+02  -5.940485e+01  -1.213130e+02  -3.326021e+01
-2.173380e+02  -5.958710e+01  -1.213130e+02  -3.326021e+01
-2.180027e+02  -5.976935e+01  -1.213130e+02  -3.326021e+01
-2.186675e+02  -5.995160e+01  -1.213130e+02  -3.326021e+01
-2.193322e+02  -6.013385e+01  -1.213130e+02  -3.326021e+01
-2.199969e+02  -6.031609e+01  -1.213130e+02  -3.326021e+01
-2.206617e+02  -6.049834e+01  -1.213130e+02  -3.326021e+01
-2.213264e+02  -6.068059e+01  -1.213130e+02  -3.326021e+01
