Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
-5.744754e-01   8.185447e-01  -5.142911e+00  -3.609351e+00
-5.800978e-01   8.145698e-01  -5.117937e+00  -3.644676e+00
-5.856928e-01   8.105563e-01  -5.092720e+00  -3.679829e+00
-5.912599e-01   8.065044e-01  -5.067261e+00  -3.714807e+00
-5.967991e-01   8.024143e-01  -5.041563e+00  -3.749609e+00
-6.023099e-01   7.982861e-01  -5.015625e+00  -3.784234e+00
-6.077922e-01   7.941201e-01  -4.989449e+00  -3.818679e+00
-6.132457e-01   7.899164e-01  -4.963037e+00  -3.852943e+00
-6.186701e-01   7.856753e-01  -4.936390e+00  -3.887024e+00
-6.240652e-01   7.813969e-01  -4.909509e+00  -3.920921e+00
-6.294307e-01   7.770815e-01  -4.882395e+00  -3.954632e+00
-6.347663e-01   7.727292e-01  -4.855049e+00  -3.988155e+00
-6.400719e-01   7.683403e-01  -4.827474e+00  -4.021490e+00
-6.453471e-01   7.639150e-01  -4.799669e+00  -4.054634e+00
-6.505917e-01   7.594535e-01  -4.771637e+00  -4.087585e+00
-6.558055e-01   7.549559e-01  -4.743379e+00  -4.120343e+00
-6.609882e-01   7.504226e-01  -4.714895e+00  -4.152906e+00
-6.661395e-01   7.458536e-01  -4.686189e+00  -4.185271e+00
-6.712593e-01   7.412494e-01  -4.657260e+00  -4.217438e+00
-6.763472e-01   7.366099e-01  -4.628110e+00  -4.249405e+00
-6.814031e-01   7.319356e-01  -4.598741e+00  -4.281171e+00
-6.864266e-01   7.272266e-01  -4.569154e+00  -4.312734e+00
-6.914176e-01   7.224830e-01  -4.539350e+00  -4.344092e+00
-6.963759e-01   7.177053e-01  -4.509331e+00  -4.375244e+00
-7.013011e-01   7.128935e-01  -4.479098e+00  -4.406189e+00
-7.061931e-01   7.080479e-01  -4.448653e+00  -4.436925e+00
-7.110516e-01   7.031687e-01  -4.417997e+00  -4.467451e+00
-7.158764e-01   6.982562e-01  -4.387132e+00  -4.497765e+00
-7.206672e-01   6.933106e-01  -4.356058e+00  -4.527865e+00
-7.254239e-01   6.883321e-01  -4.324778e+00  -4.557751e+00
-7.301462e-01   6.833210e-01  -4.293293e+00  -4.587421e+00
-7.348339e-01   6.782775e-01  -4.261605e+00  -4.616873e+00
-7.394867e-01   6.732018e-01  -4.229714e+00  -4.646107e+00
-7.441045e-01   6.680942e-01  -4.197623e+00  -4.675120e+00
-7.486870e-01   6.629550e-01  -4.165333e+00  -4.703911e+00
-7.532340e-01   6.577843e-01  -4.132846e+00  -4.732480e+00
-7.577452e-01   6.525824e-01  -4.100162e+00  -4.760824e+00
-7.622206e-01   6.473496e-01  -4.067284e+00  -4.788942e+00
-7.666598e-01   6.420861e-01  -4.034214e+00  -4.816833e+00
-7.710627e-01   6.367922e-01  -4.000952e+00  -4.844496e+00
-7.754291e-01   6.314680e-01  -3.967500e+00  -4.871930e+00
-7.797586e-01   6.261140e-01  -3.933860e+00  -4.899132e+00
-7.840512e-01   6.207302e-01  -3.900034e+00  -4.926102e+00
-7.883066e-01   6.153170e-01  -3.866023e+00  -4.952839e+00
-7.925247e-01   6.098747e-01  -3.831829e+00  -4.979340e+00
-7.967052e-01   6.044034e-01  -3.797453e+00  -5.005606e+00
-8.008479e-01   5.989035e-01  -3.762897e+00  -5.031634e+00
-8.049526e-01   5.933752e-01  -3.728162e+00  -5.057424e+00
-8.090192e-01   5.878187e-01  -3.693251e+00  -5.082974e+00
-8.130474e-01   5.822344e-01  -3.658165e+00  -5.108283e+00
-8.170371e-01   5.766225e-01  -3.622905e+00  -5.133349e+00
-8.209880e-01   5.709832e-01  -3.587473e+00  -5.158173e+00
-8.249000e-01   5.653169e-01  -3.551872e+00  -5.182752e+00
-8.287729e-01   5.596238e-01  -3.516102e+00  -5.207085e+00
-8.326066e-01   5.539041e-01  -3.480165e+00  -5.231171e+00
-8.364007e-01   5.481582e-01  -3.444064e+00  -5.255009e+00
-8.401552e-01   5.423863e-01  -3.407799e+00  -5.278599e+00
-8.438699e-01   5.365887e-01  -3.371372e+00  -5.301937e+00
-8.475445e-01   5.307656e-01  -3.334786e+00  -5.325025e+00
-8.511790e-01   5.249174e-01  -3.298042e+00  -5.347860e+00
