Method       t0       tn       N         h  beta      Time used [s]
Verlet        0  1.0e+01  100000 1.000e-04  2.000000       0.028893

x  -  y  -  z  .........
   2.771611e-06   1.180951e-06  -7.812100e-11  -9.235315e-01  -3.935059e-01   2.603078e-05
   2.698472e-06   1.353757e-06  -9.243038e-11  -8.991607e-01  -4.510870e-01   3.079883e-05
   2.614871e-06   1.521316e-06  -1.063815e-10  -8.713039e-01  -5.069194e-01   3.544749e-05
   2.521194e-06   1.683014e-06  -1.199227e-10  -8.400898e-01  -5.607989e-01   3.995959e-05
   2.417861e-06   1.838267e-06  -1.330048e-10  -8.056583e-01  -6.125308e-01   4.431867e-05
   2.305323e-06   1.986521e-06  -1.455805e-10  -7.681592e-01  -6.619309e-01   4.850903e-05
   2.184058e-06   2.127257e-06  -1.576052e-10  -7.277523e-01  -7.088256e-01   5.251579e-05
   2.054571e-06   2.259985e-06  -1.690366e-10  -6.846058e-01  -7.530521e-01   5.632487e-05
   1.917391e-06   2.384252e-06  -1.798352e-10  -6.388959e-01  -7.944593e-01   5.992309e-05
   1.773069e-06   2.499639e-06  -1.899640e-10  -5.908062e-01  -8.329076e-01   6.329811e-05
   1.622174e-06   2.605762e-06  -1.993887e-10  -5.405265e-01  -8.682688e-01   6.643854e-05
